circuit,source_sha256,qubits,gates,reduction_max_nodes,duration_seconds,status,error,amplitudes,contained_amplitudes,containment_rate,midpoint_fidelity,midpoint_l2_error,midpoint_norm,mean_diameter,max_diameter,l2_radius,certified_l2_error_bound
contrived/separable_n10,c8ea6a9f87c73a16efa25b0557bd39e4d1cd5528e71c995b029f5a2f499a668c,10,20,exact,0.007789,ok,,1024,1024,1.0,0.9999999999999991,1.5456736768268798e-15,1.0000000000000007,0.0,0.0,0.0,0.0
contrived/separable_n10,c8ea6a9f87c73a16efa25b0557bd39e4d1cd5528e71c995b029f5a2f499a668c,10,20,1,0.007569,ok,,1024,1024,1.0,0.9999999999999991,1.5456736768268798e-15,1.0000000000000007,0.0,0.0,0.0,0.0
contrived/separable_n10,c8ea6a9f87c73a16efa25b0557bd39e4d1cd5528e71c995b029f5a2f499a668c,10,20,2,0.007325,ok,,1024,1024,1.0,0.9999999999999991,1.5456736768268798e-15,1.0000000000000007,0.0,0.0,0.0,0.0
contrived/separable_n10,c8ea6a9f87c73a16efa25b0557bd39e4d1cd5528e71c995b029f5a2f499a668c,10,20,4,0.007724,ok,,1024,1024,1.0,0.9999999999999991,1.5456736768268798e-15,1.0000000000000007,0.0,0.0,0.0,0.0
contrived/separable_n10,c8ea6a9f87c73a16efa25b0557bd39e4d1cd5528e71c995b029f5a2f499a668c,10,20,8,0.007219,ok,,1024,1024,1.0,0.9999999999999991,1.5456736768268798e-15,1.0000000000000007,0.0,0.0,0.0,0.0
contrived/separable_n10,c8ea6a9f87c73a16efa25b0557bd39e4d1cd5528e71c995b029f5a2f499a668c,10,20,16,0.007163,ok,,1024,1024,1.0,0.9999999999999991,1.5456736768268798e-15,1.0000000000000007,0.0,0.0,0.0,0.0
contrived/ghz_n10,333b239dcdd31b1e79d677f78794212098ff5070c48fea182cdbd7fa3843151b,10,10,exact,0.005411,ok,,1024,1024,1.0,1.0000000000000004,1.5700924586837752e-16,1.0,0.0,0.0,0.0,0.0
contrived/ghz_n10,333b239dcdd31b1e79d677f78794212098ff5070c48fea182cdbd7fa3843151b,10,10,1,0.006777,ok,,1024,1024,1.0,nan,0.9999999999999999,0.0,2.828427124746191,2.828427124746191,45.254833995939045,1.0000000000000002
contrived/ghz_n10,333b239dcdd31b1e79d677f78794212098ff5070c48fea182cdbd7fa3843151b,10,10,2,0.005761,ok,,1024,1024,1.0,1.0000000000000004,1.5700924586837752e-16,1.0,0.0,0.0,0.0,0.0
contrived/ghz_n10,333b239dcdd31b1e79d677f78794212098ff5070c48fea182cdbd7fa3843151b,10,10,4,0.005602,ok,,1024,1024,1.0,1.0000000000000004,1.5700924586837752e-16,1.0,0.0,0.0,0.0,0.0
contrived/ghz_n10,333b239dcdd31b1e79d677f78794212098ff5070c48fea182cdbd7fa3843151b,10,10,8,0.005868,ok,,1024,1024,1.0,1.0000000000000004,1.5700924586837752e-16,1.0,0.0,0.0,0.0,0.0
contrived/ghz_n10,333b239dcdd31b1e79d677f78794212098ff5070c48fea182cdbd7fa3843151b,10,10,16,0.005005,ok,,1024,1024,1.0,1.0000000000000004,1.5700924586837752e-16,1.0,0.0,0.0,0.0,0.0
contrived/layered_random_n6,a05605f0e4f5a0e1460b1e93c1e78d77a413deb518f38bd4e049fc3ba31596ab,6,34,exact,0.011111,ok,,64,64,1.0,1.0000000000000004,4.0722388237899813e-16,0.9999999999999999,0.0,0.0,0.0,0.0
contrived/layered_random_n6,a05605f0e4f5a0e1460b1e93c1e78d77a413deb518f38bd4e049fc3ba31596ab,6,34,1,0.036985,ok,,64,64,1.0,0.0071829313609362185,1.589451419982258,1.3216705672022175,6.566676006999628,6.566676006999628,26.26670402799851,2.321670567202218
contrived/layered_random_n6,a05605f0e4f5a0e1460b1e93c1e78d77a413deb518f38bd4e049fc3ba31596ab,6,34,2,0.016726,ok,,64,64,1.0,0.5000000000000001,0.7071067811865475,0.7071067811865476,4.828427124746191,4.828427124746191,19.313708498984763,1.7071067811865477
